Manufacturer,Model,Application(s),Thrust (dry) [lbf],Thrust (wet) [lbf],SFC (dry) [lb/lbf hr],SFC (wet) [lb/lbf hr],Airflow (static) [lb/s],OPR (static),FPR (static),BPR (static),Thrust (cruise) [lbf],SFC (cruise) [lb/lbf hr],Cruise Speed [M],Cruise Altitude [ft],Turbine Inlet Temperature [K],Number of Spools,Fan Stages,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Fan Diameter [in],Length [in],Width/Diameter [in],Dry Weight [lb]
CFM,CFM56-7B27A3,,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27E,737-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27E/B1,737-800/-900/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27E/B1F,737-800/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27E/B3,737-700/-800/-900/-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-7B27E/F,737-900ER,27300,,,,,,,,,,,,,2,1,3B,9,1,,4,61,98.9,65,5216
CFM,CFM56-9,"A316/A317 (A31X), BRJ-X, AE-100, N-2130 (not produced)",20000,,0.38,,,23.2,,,,,,,,2,1,2B,9,1,,3,,91.7,56,4252
CFM,LEAP-1A22,A319-152N,22000,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A23,,24000,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A24,"A319-151N, A320-252N",24000,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A24E1,A319-151N,24000,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A26,"A319-153N, A320-251N",27100,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A26CJ,,27100,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A26E1,"A319-153N, A320-251N",27100,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A29,A320-253N,29300,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A29CJ,,29300,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A30,A321-252N/-252NX,32160,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A32,A321-251N/-251NX,32160,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A33,A321-253N/-253NX,32160,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1A33A5,A321-253N,32160,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1A33B2,A321-253N,32160,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1A35,A321-253N/-253NX,32160,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1B35,,32160,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B21,,25000,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B23,,25900,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B25G05,737-8,26785,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B25G06,737-8,26785,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B27G05,737-8/-9,28000,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B27G06,737-8/-9,28000,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28G05,737-8/-9,29300,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28G06,737-8/-9,29300,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28B1G05,737-8/-9,29300,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28B1G06,737-8/-9,29300,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28B2,,29300,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28B2C,,28000,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1B28B3,,29300,,,,,,,,,,,,,2,1,3,10,2,,5,,123.9,,
CFM,LEAP-1C28,C919 (proposed),29220,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1C30,C919 (proposed),30830,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
CFM,LEAP-1C30B1,C919 (proposed),30830,,,,,,,,,,,,,2,1,3,10,2,,7,,131,,
Continental,Model 420,(see Turbomeca Aspin II),,,,,,,,,,,,,,,,,,,,,,,,
Curtiss-Wright,TJ38,,,,,,,,,,,,,,,,,,,,,,,,,
Curtiss-Wright,TJ70,,53200,,,,600,9,,,,,,,,,,,,,,,,,,6340
de Havilland,Ghost 50 Mk.1,Comet 1,5000,,,,,,,,,,,,,1,,,1C,1,,,,129,52.7,
de Havilland,Ghost 50 Mk.2,Comet 1A,5020,,,,,,,,,,,,,1,,,1C,1,,,,129,52.7,
de Havilland,Ghost 50 Mk.3,,,,,,,,,,,,,,,1,,,1C,1,,,,129,52.7,
de Havilland,Ghost 50 Mk.4,Comet 1XB,5500,,,,,,,,,,,,,1,,,1C,1,,,,129,52.7,
Engine Alliance,GP7168,747-500X/-600X (not produced),68000,,,,2000,42.3,,7,,,,,,2,1,3B,9,2,,4,,169,99,11500
Engine Alliance,GP7172,"767-400ERX, (not produced)",71000,,,,,,,,,,,,,2,1,3B,9,2,,4,,,,
Engine Alliance,GP7268,(cancelled),68000,,,,,46,,8,,,,,,2,1,5B,9,2,,6,,,,
Engine Alliance,GP7270,A380-861,74735,,,,,45.6,,8.7,12633,,0.85,35000,,2,1,5B,9,2,,6,116,185.8,123.7,14798
Engine Alliance,GP7272,,76470,,,,,45.6,,8.7,,,,,,2,1,5B,9,2,,6,116,185.8,123.7,14798
Engine Alliance,GP7277,A380-863F (not produced),80290,,,,2600,45.6,,8.7,13700,,0.85,35000,,2,1,5B,9,2,,6,116,185.8,123.7,14798
Garrett,ATF3-6A-4C,Falcon 200,5440,,,,162,21.3,,2.8,,,,,,3,1,5,1C,1,3,2,,102,33.6,1165
Garrett,ATF3-??,"HFB 330 (not produced), Sabreliner 60 (candidate engine)",4050,,0.44,,140,17,,3,,,,,,3,1,5,1C,1,3,2,,,,
Garrett,TFE731-2,"Falcon 10, Learjet 31/31A, SA-28T",3500,,0.504,,113,13,1.54,2.66,755,0.815,0.8,40000,,2,1G,1C,4,1,,3,28.2,49.7,39.4,743
Garrett,TFE731-2-2A,Learjet 35/36,3500,,0.504,,113,13,1.54,2.66,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,743
Garrett,TFE731-2-2B,Learjet 35A/36A,3500,,0.504,,113,13,1.54,2.66,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,743
Garrett,TFE731-2-2N,IA 63 NGA,3500,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,743
Garrett,TFE731-2A-2A,K-8E,3600,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,772
Garrett,TFE731-2B,,3500,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,773
Garrett,TFE731-2BR,,3650,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,773
Garrett,TFE731-2C,,3500,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,753
Garrett,TFE731-3,JetStar II,3700,,0.511,,118,14.6,2.8,2.8,817,0.819,0.8,40000,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-3-1C,Falcon 50,3700,,,,118,14.6,2.8,2.8,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-3-1D,Sabreliner 65,3700,,,,118,14.6,2.8,2.8,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-3-1G,1124 Westwind,3700,,,,118,14.6,2.8,2.8,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-3-1H,HS 125-600F,3700,,,,118,14.6,2.8,2.8,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-3-100S,Citation III,3700,,,,118,14.6,2.8,2.8,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-3A-2B,Learjet 55/55B/55C/55C-LR,3700,,0.515,,118,14.6,2.8,2.8,838,0.823,0.8,40000,,2,1G,1C,4,1,,3,28.2,49.7,39.4,775
Garrett,TFE731-3A-300G,"Astra, Astra SP",3700,,,,118,14.6,2.8,2.8,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,775
Garrett,TFE731-3AR,,3880,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,775
Garrett,TFE731-3B-100,Citation VI,3650,,0.507,,118,14.4,2.8,2.8,844,0.816,0.8,40000,,2,1G,1C,4,1,,3,28.2,49.7,39.4,769
Garrett,TFE731-3BR,,3850,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,769
Garrett,TFE731-3C,,3700,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,777
Garrett,TFE731-3CR,,3880,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,777
Garrett,TFE731-3D,,3700,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,767
Garrett,TFE731-3DR,,3880,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,767
Garrett,TFE731-3RH,HS 125-700A/B,3880,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,754
Garrett,TFE731-4,"Citation VII, Citation IV (not produced)",4080,,0.517,,,14.8,,2.4,929,0.796,0.8,40000,,2,1G,1C,4,1,,3,28.2,51,39.4,822
Garrett,TFE731-4R,,4080,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,49.7,39.4,822
Garrett,TFE731-5,"HS 125-800, Sabreliner 85",4304,,0.484,,143,14.4,3.48,3.65,955,0.802,0.8,40000,,2,1G,1C,4,1,,3,29.7,54.7,40.5,852
Garrett,TFE731-5A,,4500,,,,,,,,,,,,,2,1G,1C,4,1,,3,,,,884
Garrett,TFE731-5AR,Falcon 20RE,4500,,0.469,,143,14.6,3.48,3.65,986,0.771,0.8,40000,,2,1G,1C,4,1,,3,29.7,80.8,40.5,884
Garrett,TFE731-5AR-1C,Falcon 900,4500,,,,,,,,,,,,,2,1G,1C,4,1,,3,29.7,80.8,40.5,884
Garrett,TFE731-5AR-2C,Falcon 20C-5/D-5/E-5/F-5,4500,,,,,,,,,,,,,2,1G,1C,4,1,,3,29.7,80.8,40.5,884
Garrett,TFE731-5B,,4750,,,,,,,,,,,,,2,1G,1C,4,1,,3,,,,899
Garrett (Allied-Signal),TFE731-5BR,"Falcon 20RE, Hawker 750/800XP/850XP",4750,,0.47,,143,15.1,3.48,3.5,1052,0.756,0.8,40000,,2,1G,1C,4,1,,3,29.7,80.8,40.5,899
Garrett (Honeywell),TFE731-5BR-1C,Falcon 900B/900C,4750,,,,,,,,,,,,,2,1G,1C,4,1,,3,29.7,80.8,40.5,899
Garrett (Honeywell),TFE731-5BR-2C,Falcon 20C-5/D-5/E-5/F-5,4750,,,,,,,,,,,,,2,1G,1C,4,1,,3,29.7,80.8,40.5,899
Garrett,TFE731-5R,Hawker 800,4500,,,,,,,,,,,,,2,1G,1C,4,1,,3,,,,852
Garrett (AlliedSignal),TFE731-20,,3500,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,895
Garrett (Honeywell),TFE731-20AR,Learjet 40/45,3650,,0.441,,123,21,3.7,3.1,876,0.728,0.8,40000,,2,1G,1C,4,1,,3,28.2,51,39.4,895
Garrett (Honeywell),TFE731-20BR,Learjet 40XR/45XR,3500,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,
Garrett (AlliedSignal),TFE731-20R,,3650,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,895
Garrett (AlliedSignal),TFE731-40,"Falcon 50EX, Hawker 450",4250,,0.457,,145,22,,2.9,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,885
Garrett (AlliedSignal),TFE731-40R-200G,"G100 (Astra SP), G150 (Astra SPX), IA 63 NGB",4462,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,885
Garrett (Honeywell),TFE731-40AR-200G,G150,4420,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,
Garrett (Honeywell),TFE731-40BR,Learjet 70/75,3850,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,
Garrett (Honeywell),TFE731-50R,Hawker 900XP,4750,,,,,,,,,,,,,2,1G,1C,4,1,,3,28.2,51,39.4,
Garrett (AlliedSignal),TFE731-60,Falcon 900DX/900EX/900LX,5000,,0.405,,187,22,,3.9,,,,,,2,1G,1C,4,1,,3,30.7,72,42.4,988
GE,Affinity,Aerion AS2,18000,,,,,,,3.1,,,,,,2,2,,9,1,,2,52,,,
GE,CF6-6,DC-10-10 (option),39300,,,,1343,26.6,1.64,6.2,,,,,,2,1,1B,16,2,,5,,172.5,92,7350
GE,CF6-6D,DC-10-10/-10F/-10F(CF),39300,,0.354,,1303,24.3,,5.72,9080,0.646,0.8,35000,,2,1,1B,16,2,,5,86.4,188.0**,105,7896
GE,CF6-6D1,DC-10-10/-10F/-10F(AF),40300,,0.35,,1328,25.2,,5.76,9220,0.646,0.8,35000,,2,1,1B,16,2,,5,86.4,188.0**,105,7896
GE,CF6-6D1A,DC-10-10/-10F/-10F(AF),40900,,0.35,,1328,25.2,,5.76,9220,0.646,0.8,35000,,2,1,1B,16,2,,5,86.4,188.0**,105,7896
GE,CF6-6E,DC-10-10/-10F (option),40600,,,,,,,,,,,,,2,1,1B,16,2,,5,86.4,,,
GE,CF6-6F,DC-10-10/-10F (option),42000,,,,,,,,,,,,,2,1,1B,16,2,,5,86.4,,,
GE,CF6-6K,DC-10-10/-10F,39300,,0.346,,,25,,,,,,,,2,1,1B,16,2,,5,86.4,188.0**,105,8176
GE,CF6-6K2,DC-10-10/-10F (option),40900,,0.346,,,25,,,,,,,,2,1,1B,16,2,,5,86.4,188.0**,105,8176
GE,CF6-32,757 (proposed),,,,,,,,,,,,,,,,,,,,,,,,
GE,CF6-45A,747-100SR/-100SR(SF),45600,,,,1393,26.3,,4.64,11250,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,188.0**,105,8768
GE,CF6-45A2,747-100SR/-100SR(SF),45600,,,,1393,26.3,,4.64,11250,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,188.0**,105,8768
GE,CF6-45B,747-100SR/-100SR(SF),46500,,,,1393,26.3,,4.64,11250,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,188.0**,105,8768
GE,CF6-45B2,"747-100SR/-100SR(SF), A300B10 (A310) (candidate engine)",46500,,,,1393,26.3,,4.64,11250,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,188.0**,105,8768
GE,CF6-50,DC-10-30/-30F,49000,,,,,,,,,0.645,0.8,35000,,2,1,3B,14,2,,4,92,,,8100
GE,CF6-50A,"DC-10-30/-30F, A300B1",48400,,0.389,,1444,28.6,1.69,4.4,,0.654,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,92,8201
GE,CF6-50B,,49000,,0.389,,1444,28.6,1.69,4.4,,0.654,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,92,8201
GE,CF6-50C,"A300B2-1A/-1C/-101, A300B4-1C, DC-10-30/-30CF/-30F",50400,,0.394,,1451,29.3,,4.26,11100,0.657,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8721
GE,CF6-50C1,"DC-10-30, A300B2-202, A300B4-103",51800,,0.371,,1470,30.1,,4.24,11555,0.657,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8721
GE,CF6-50C2,"A300B2-203, A300B4-2C/-203/-203F, A300C4-203, A300F4-203, DC-10-30/-30F/-30F(CF), A300B1 (option)",52500,,0.371,,1476,30.4,,4.31,11555,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8731
GE,CF6-50C2B,DC-10-30/-30ER,53200,,0.385,,1504,31.1,,4.25,11555,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8731
GE,CF6-50C2D,,51800,,,,,,,,,,,,,2,1,3B,14,2,,4,86.4,183.0**,105,8731
GE,CF6-50C2F,DC-10-15,46500,,,,1393,26.3,,4.64,11555,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8731
GE,CF6-50C2R,"A300B2-1C/-101, A300B2K-3C, A300B4-2C, DC-10-30",51500,,0.368,,,29.2,,,,,,,,2,1,3B,14,2,,4,86.4,183.0**,105,8731
GE,CF6-50D,DC-10-10,51000,,,,,,,,,,,,,2,1,3B,14,2,,4,86.4,183.0**,105,8325
GE,CF6-50D1,(see military turbofan specifications),,,,,,,,,,,,,,,,,,,,,,,,
GE,CF6-50E,747-200B,51800,,0.376,,1470,30.1,,4.24,11555,0.657,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8490
GE,CF6-50E1,747-200B,51800,,0.371,,1470,30.1,,4.24,11555,0.657,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8490
GE,CF6-50E2,747-200B/-200B(M)/-200B(SF)/-200C(M)/-200F/-300/-300(M)/-300(SF),51800,,0.371,,1476,30.4,,4.31,11555,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8768
GE,CF6-50E2B,747-200/-300 (option),53200,,0.375,,1504,30.9,,4.24,11730,0.63,0.8,35000,,2,1,3B,14,2,,4,86.4,183.0**,105,8768
GE,CF6-80A,767-200/-200ER/-200PC,46930,,0.344,,1435,27.3,,4.66,11045,0.623,0.8,35000,,2,1,3B,14,2,,4,86.4,157.4,98,8496
GE,CF6-80A1,767-200/-200ER (option),46990,,0.344,,1435,27.3,,4.66,11045,0.623,0.8,35000,,2,1,3B,14,2,,4,86.4,157.4,98,8420
GE,CF6-80A2,767-200/-200ER/-300,48670,,0.349,,1460,28.4,1.7,4.59,11045,0.623,0.8,35000,,2,1,3B,14,2,,4,86.4,157.4,98,8496
GE,CF6-80A3,A310-203/-203C/-203F,48970,,0.357,,1460,28.4,1.7,4.59,11045,0.623,0.8,35000,,2,1,3B,14,2,,4,86.4,157.4,98,8420
GE,CF6-80C2,767-200ER/-300 (option),52500,,0.329,,1769,30.4,,5.2,11330,,0.85,35000,,2,1,4B,14,2,,5,93,160.9,,9135
GE,CF6-80C2A1,A300B4-601,57860,,0.334,,1754,30.4,,5.15,11810,0.576,0.8,35000,,2,1,4B,14,2,,5,93,160.9,106,9360
GE,CF6-80C2A2,A310-204/-304/-304ET/-304F,52460,,0.317,,1769,30.4,1.66,5.05,11330,0.578,0.8,35000,,2,1,4B,14,2,,5,93,160.9,106,9360
GE,CF6-80C2A3,"A300B4-603, MD-11 (option)",58950,,0.329,,1769,30.4,1.73,5.05,11340,0.576,0.8,35000,,2,1,4B,14,2,,5,93,160.9,106,9360
GE,CF6-80C2A5,"A300B4-605R, A300C4-605R, A300F4-605R",60100,,0.34,,,31.5,,5.05,,,,,,2,1,4B,14,2,,5,93,160.9,106,9389
GE,CF6-80C2A5F,"A300B4-605R, A300C4-605R, A300F4-605R",60100,,0.34,,,31.5,,5.05,,,,,,2,1,4B,14,2,,5,93,160.9,106,9389
GE,CF6-80C2A6,,64000,,,,,,,,,,,,,2,1,4B,14,2,,5,,,,
GE,CF6-80C2A6F,,63000,,,,,,,,,,,,,2,1,4B,14,2,,5,,,,
GE,CF6-80C2A7,"A310-308, A310-308ET (option)",59000,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9389
GE,CF6-80C2A8,"A300B4-608ST, A310-308/-308ET",57860,,0.344,,1769,30.4,,5.05,,,,,,2,1,4B,14,2,,5,93,160.9,106,9389
GE,CF6-80C2B1,747-300/-300(M),55980,,0.323,,1710,30.4,,5.19,12820,0.576,0.8,35000,,2,1,4B,14,2,,5,93,160.9,106,9388
GE,CF6-80C2B1F,747-400/-400D/-400ER/-400(M)/-400F,57160,,0.316,,1764,30.4,,5.15,12820,0.564,0.8,35000,,2,1,4B,14,2,,5,93,160.9,106,9499
GE,CF6-80C2B1F1,,60030,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9499
GE,CF6-80C2B1F2,747-400/-400D/-400ER/-400(M)/-400F,60030,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9499
GE,CF6-80C2B2,"767-200ER/-300/-300ER, 737-200 (option)",51590,,0.318,,1650,30.4,,5.31,12000,0.576,0.8,35000,,2,1,4B,14,2,,5,93,160.9,106,9388
GE,CF6-80C2B2F,"767-200/-200ER/-300, 767-300ER (option)",52010,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9499
GE,CF6-80C2B2F2,"767-200/-200ER/-300, 767-300ER (option)",,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9499
GE,CF6-80C2B3,747-300/-400 (option),52010,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9388
GE,CF6-80C2B3F,747-300/-400 (option),52010,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9499
GE,CF6-80C2B4,767-200ER/-300/-300ER,57180,,0.326,,,29.9,,5.15,,,,,,2,1,4B,14,2,,5,93,160.9,106,9399
GE,CF6-80C2B4F,767-200ER/-300/-300ER,57280,,0.317,,,29.9,,5.14,,,,,,2,1,4B,14,2,,5,93,160.9,106,9760
GE,CF6-80C2B5F,747-400/-400ER/-400F/-400FER,60030,,0.323,,,31.4,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9760
GE,CF6-80C2B6,"767-300/-300ER, 767-200ER (option), An-218-200/-300 (proposed)",60070,,0.334,,,31.1,,5.06,,,,,,2,1,4B,14,2,,5,93,160.9,106,9670
GE,CF6-80C2B6F,"767-300ER, 767-200ER (option)",60030,,0.323,,,31.4,,5.06,,,,,,2,1,4B,14,2,,5,93,160.9,106,9760
GE,CF6-80C2B6FA,767-200ER,60030,,0.323,,,31.4,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9760
GE,CF6-80C2B7F,"767-300ER/-300F, 767-200ER (option)",60030,,0.323,,,31.4,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9760
GE,CF6-80C2B8F,767-400ER/-400FER,60030,,,,,31.4,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,9970
GE,CF6-80C2B9F,747-400XQLR/-XQLRF,63300,,,,,31.4,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,
GE,CF6-80C2B10F,747-XQLRF,,,,,,31.4,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,
GE,CF6-80C2D1F,MD-11/-11F/-11F(AF)/-11F(C),60690,,0.322,,,31.8,,5.03,,,,,,2,1,4B,14,2,,5,93,160.9,106,9850
GE,CF6-80C2G2,"767-400ERX, 747-400X (not produced)",,,,,,,,,,,,,,2,1,4B,14,2,,5,93,160.9,106,
GE,CF6-80C2L1F,(see military turbofan specifications),51250,,,,,,,,,,,,,,,,,,,,,,,
GE,CF6-80E1,A330-200/-300 (option),65500,,0.329,,1913,32,,5.3,,,,,,2,1,4B,14,2,,4,,164.3,114,11162
GE,CF6-80E1A1,A330-200/-300 (option),63290,,,,,32,,5.3,,,,,,2,1,4B,14,2,,5,,164.3,114,11162
GE,CF6-80E1A2,A330-201/-301,64530,,,,,32.6,,5.3,,,,,,2,1,4B,14,2,,5,,164.3,114,11162
GE,CF6-80E1A3,A330-203/-303,68530,,,,,33.7,,5,,,,,,2,1,4B,14,2,,5,,171,114,10726
GE,CF6-80E1A4,"A330-202/-302, KR-860 (not produced)",66870,,0.338,,,33.7,,5,,,,,,2,1,4B,14,2,,5,,171,114,10726
GE,CF6-80E1A4/B,A330-202/-302,68530,,,,,33.7,,5,,,,,,2,1,4B,14,2,,5,,171,114,10726
GE,CF34-1A,Challenger 601-1A,9140,,0.36,,,,,6.2,,,,,,2,1,,14,2,,4,44,103.2,49.6,1625
GE,CF34-3A,Challenger 601-3A,9220,,0.357,,332,21,,6.3,,,,,,2,1,,14,2,,4,44,103.2,49.6,1625
GE,CF34-3A1,"CRJ100ER/CRJ100LR, Challenger 601-3R",9220,,0.357,,332,21,,6.3,,,,,,2,1,,14,2,,4,44,103.2,49.6,1655
GE,CF34-3A2,Challenger 601-3A/ER,9220,,0.357,,332,21,,6.3,,,,,,2,1,,14,2,,4,44,103.2,49.6,1625
GE,CF34-3B,Challenger 604/605/650,9220,,0.346,,,21,,6.3,,,,,,2,1,,14,2,,4,44,103.2,49.6,1670
GE,CF34-3B1,"CRJ200ER/200LR, CRJ440ER/LR, Challenger 800/850",9220,,0.346,,,21,,6.3,,,,,,2,1,,14,2,,4,44,103.2,49.6,1670
GE,CF34-8C1,CRJ701/-701ER,13790,,0.37,,,27,,4.9,,,,,,2,1,,10,2,,4,46.2,152.3,60.7,2704
GE,CF34-8C5,"CRJ550, CRJ705/-705ER, CRJ900/900ER, CRJ900 NextGen",14510,,0.39,,,,,4.9,,,,,,2,1,,10,2,,4,46.2,151.6,60.7,2780
GE,CF34-8C5A1,CRJ1000 NextGen,14510,,,,,,,,,,,,,2,1,,10,2,,4,46.2,151.6,60.7,2780
GE,CF34-8C5A2,,14510,,,,,,,,,,,,,2,1,,10,2,,4,46.2,151.6,60.7,2780
GE,CF34-8C5A3,,14510,,,,,,,,,,,,,2,1,,10,2,,4,46.2,151.6,60.7,2780
GE,CF34-8C5B1,CRJ700 NextGen,13790,,,,,,,,,,,,,2,1,,10,2,,4,46.2,151.6,60.7,2780
GE,CF34-8D??,SL-200/-300 (not produced),,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8D1,"728-100, 528-100 (not produced)",13830,,0.39,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8D3,728-200 (not produced),14240,,0.39,,,27,,4.9,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8D5,,14470,,0.39,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8D6,Envoy 7 (not produced),14470,,0.39,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E2,"E170/170LR, E175/175LR",13300,,0.39,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E2A1,,13300,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E5,"E170/170LR, E175/175LR",14510,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E5A1,"E170/170LR, E175/175LR",14510,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E5A2,,14510,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
GE,CF34-8E5A3,,,,,,,,,,,,,,,2,1,,10,2,,4,46.2,121.2,62.7,3148
