Manufacturer,Model,Application(s),Power,SFC (TO) [shp],Airflow (TO) [lb/shp hr],OPR (TO) [lb/s],Number of Spools,LPC Stages,HPC Stages,HPT Stages,IPT Stages,LPT Stages,Length [in],Width/Diameter [in],Weight (dry) [lb]
Blackburn,Nimbus BnN.2/1,,,,,,1 + FT,,2 + 1C,2,,2,,,
Blackburn,Nimbus BnN.2/2,,,,,,1 + FT,,2 + 1C,2,,2,,,
Bristol Siddeley,Nimbus Mk.103/503,Wasp HAS.1,1050,,,,1 + FT,,2 + 1C,2,,1,73.7,38.7,670
Bristol Siddeley (Rolls-Royce),Nimbus Mk.105/502,Scout AH.1,685,,,,1 + FT,,2 + 1C,2,,1,,,
Kuznetsov,NK-12M,Tu-95M 'Bear-A',14795,0.36,143,13,1,,14,5,,,236.2,45.3,5181
Kuznetsov,NK-12MK,A-90 'Casp-B',,,,,1,,14,5,,,,,
Bristol,Proteus 755,Britannia C.1/C.2,3925,,,,,,,,,,,,
Pratt Whitney Canada,PT6A-20,(see T74-CP-700),,,,,,,,,,,,,
Pratt Whitney Canada,PT6A-25,T-34C,715,0.63,,,1 + FT,,3 + 1C,2,,1,62,19,353
Pratt Whitney Canada,PT6A-25A,"PC-7, PZL-130T/TE",650,0.63,,,1 + FT,,3 + 1C,2,,1,62,19,343
Pratt Whitney Canada,PT6A-25C,"EMB-312 Tucano, PZL-103TD",750,0.595,,,1 + FT,,3 + 1C,2,,1,62,19,335
Pratt Whitney Canada,PT6A-27,"UV-18A/B, UV-20A, CC-138, G-21G Turbo-Goose",620,0.602,7,6.7,1 + FT,,3 + 1C,2,,1,62,19,328
Pratt Whitney Canada,PT6A-28,RU-27J,750,0.595,,,1 + FT,,3 + 1C,2,,1,62,19,344
Pratt Whitney Canada,PT6A-29,(see T74-CP-702),,,,,,,,,,,,,
Pratt Whitney Canada,PT6A-34,"UV-18C, EMB-111, IAI 201/202",750,0.595,,,1 + FT,,3 + 1C,2,,1,62,19,331
Pratt Whitney Canada,PT6A-34B,"T-44A/C, King Air H90",750,0.595,,,1 + FT,,3 + 1C,2,,1,62,19,344
Pratt Whitney Canada,PT6A-38,C-12A,750,,,,1 + FT,,3 + 1C,2,,1,62,19,
Pratt Whitney Canada,PT6A-41,"C-12C/D/L, NC-12B/N, RC-12D/G/H, TC-12B, UC-12B/D",850,0.591,,,1 + FT,,3 + 1C,2,,2,67,19,403
Pratt Whitney Canada,PT6A-42,"C-12E/F/R/T/U/V, RC-12F/M, UC-12F/M",850,,,,,,,,,,,,
Pratt Whitney Canada,PT6A-45R,(see T101-CP-100),,,,,,,,,,,,,
Pratt Whitney Canada,PT6A-50,"EO-5C, TO-5C, C-7B, RC-7B",,,,,1 + FT,,3 + 1C,2,,2,,,
Pratt Whitney Canada,PT6A-60A,"MC-12S/W, UC-12W",1050,0.548,,,1 + FT,,3 + 1C,2,,2,72,19,475
Pratt Whitney Canada,PT6A-62,"PC-9A/B/Mk.2, PZL-130TC/TP",1150,0.567,,,1 + FT,,3 + 1C,2,,2,70,19,454
Pratt Whitney Canada,PT6A-65AR,C-23B/C/D,1425,,,,,,,,,,,,
Pratt Whitney Canada,PT6A-65B,"C-12J, UC-12J, C-145A, MC-145B",1100,0.536,10,10,1 + FT,,4 + 1C,2,,2,74,19,481
Pratt Whitney Canada,PT6A-66,Saras (prototype),850,0.62,,,1 + FT,,4 + 1C,2,,2,70,19,470
Pratt Whitney Canada,PT6A-67,RC-12X,1100,0.547,,,1 + FT,,4 + 1C,2,,2,76,19,506
Pratt Whitney Canada,PT6A-67B,U-28A,1200,0.552,,,1 + FT,,4 + 1C,2,,2,,19,515
Pratt Whitney Canada,PT6A-67D,"RC-12K/N/P/Q, Saras",1220,0.53,,,1 + FT,,4 + 1C,2,,2,,,
Pratt Whitney Canada,PT6A-68,"T-6A/B/C, AT-6C, JPATS PC-9 Mk.II, CT-156, EMB-312H",1250,0.54,,,1 + FT,,4 + 1C,2,,2,71.3,22.2,573
Pratt Whitney Canada,PT6A-68B,,1600,,,,1 + FT,,4 + 1C,2,,2,71.4,22.2,593
Pratt Whitney Canada,PT6A-68C,"A-29B, EMB-314",1600,,,,1 + FT,,4 + 1C,2,,2,71.8,22.4,600
Pratt Whitney Canada,PT6A-68D,,1600,,,,1 + FT,,4 + 1C,2,,2,71.7,22.4,600
Pratt Whitney Canada,PT6A-68T,Hurkus-A/-B/-C,1600,,,,1 + FT,,4 + 1C,2,,2,71.8,22.4,600
Pratt Whitney Canada,PT6A-114,U-27A,675,0.64,,,1 + FT,,3 + 1C,2,,1,62,19,350
Pratt Whitney Canada,PT6B-36,S-76B,960,,,,1 + FT,,4 + 1C,2,,2,59.2,19.5,384
Pratt Whitney Canada,PT6B-37A,TH-119,917,,,,1 + FT,,4 + 1C,2,,2,59.2,22.6,408
Pratt Whitney Canada,PT6B-67A,Z-8F,,,,,1 + FT,,4 + 1C,2,,2,59.2,19.5,
Pratt Whitney Canada,PT6C-67C,"AW139M, HH-139A, VH-139A, US139, MH-139A",1531,,,,,,,,,,,,
Pratt Whitney Canada,PT6T-3D,"CH-146, S-69",1800,0.601,,,1 + FT,,4 + 1C,2,,2,65.2,44.5,690
Pratt Whitney Canada,PW119C,C-146A,2180,,,,2 + FT,1C,1C,1,1,2,81,31,887
Pratt Whitney Canada,PW120A,"CT-142, E-9A",2000,0.485,,,2 + FT,1C,1C,1,1,2,84,31,933
Pratt Whitney Canada,PW123E,"RO-6A, C-147A",2380,,,,2 + FT,1C,1C,1,1,2,84,33,
Pratt Whitney Canada,PW127G,C-295M/W,2920,,,,2 + FT,1C,1C,1,1,2,84,33,1060
Pratt Whitney Canada,PW150A,An-132D,5492,,,,2 + FT,1C,1C,1,1,2,84,33,1060
Pratt Whitney Canada,PW150??,USMC HLR (proposed engine),,,,,2 + FT,1C,1C,1,1,2,84,33,1060
Pratt Whitney Canada,PW180,A400M (candidate engine),,,,,,,,,,,,,
Pratt Whitney Canada,PW206B,EC635P1,710,0.548,,,1 + FT,,1C,1,,1,,,
Pratt Whitney Canada,PW206B2,EC635P2/P2+,817,,,,1 + FT,,1C,1,,1,,,
Pratt Whitney Canada,PW206C,"A109LUH, MH-68A",732,,,,1 + FT,,1C,1,,1,,,
Pratt Whitney Canada,PW206E,MH-90,646,,,,1 + FT,,1C,1,,1,,,
Pratt Whitney Canada,PW207D,"MQ-18A, A160T, Eagle Eye (not produced)",572,,,,1 + FT,,1C,1,,1,,,
Pratt Whitney Canada,PW207K,Ansat/-M,,,,,1 + FT,,1C,1,,1,,,
Pratt Whitney Canada,PW209T,Bell 400/440 (not produced),1000,,,,,,,,,,,,
Pratt Whitney Canada,PW210A,AW169M,1000,,,,1 + FT,,2 + 1C,1,,2,,,
Armstrong Siddeley,Python ASP.3,Wyvern S.4,3560,0.805,52.5,5.4,1,,14,2,,,123.2,54,3450
PZL Rzeszów,PZL-10W,W-3A/AE/P/PL/RM/RR,888,0.6,10,7.4,1 + FT,,6 + 1A,2,,1,73.8,30.1,310
Rolls-Royce,RS.360-07,WG-13,900,0.5,7,12.2,2 + FT,4,1C,1,1,2,,,
Rolls-Royce/Turbomeca,RTM 321,Technology demonstrator,,,,,1 + FT,,3 + 1C,2,,2,,,
Rolls-Royce/Turbomeca,RTM 322-01,S-70C (test aircraft),2100,,,,1 + FT,,3 + 1C,2,,2,46.1,25.9,
Rolls-Royce/Turbomeca,RTM 322-01/8,"Merlin HM.1 (EH101 Mk.111), EH101 Mk.512/Mk.514/Mk.515/Mk.516, US101 (candidate engine)",2200,0.45,,14,1 + FT,,3 + 1C,2,,2,46.1,25.9,539
Rolls-Royce/Turbomeca,RTM 322-02/8,"Merlin HC.3 (EH101 Mk.411), CH-149 (candidate engine)",2200,0.45,,14,1 + FT,,3 + 1C,2,,2,46.1,25.9,539
Rolls-Royce/Turbomeca,RTM 322-01/9,"NH90 NFH/TTH, HKP-14 (option)",2430,0.42,,16,1 + FT,,3 + 1C,2,,2,46.1,25.9,499
Rolls-Royce/Turbomeca,RTM 322-01/9A,"NH90 NFH/TTH, X3",2270,,,,1 + FT,,3 + 1C,2,,2,46.1,25.9,499
Rolls-Royce/Turbomeca,RTM 322-01/12,Apache AH1,,0.45,,,1 + FT,,3 + 1C,2,,2,46.1,25.9,539
Westinghouse,T30-W,(engine cancelled),,,,,,,,,,,,,
GE,XT31-GE-1,XP-81,1700,0.87,,6.1,1,,14,1,,,116,36,1905
GE,XT31-GE-2,XF2R-1,1700,0.87,,6.1,1,,14,1,,,116,36,1905
GE,XT31-GE-3,(engine cancelled),1700,0.87,,6.1,1,,14,1,,,116,36,1905
Pratt Whitney,T32-P,(engine cancelled),,,,,,,,,,,,,
Fredrich Flader,XT33-FF-1,(engine cancelled),5900,0.59,,4.7,1,,11,2,,,154.9,51.4,4805
Pratt Whitney,YT34-P-1,"YC-124B, YKC-124B",,,,,,,,,,,,,
Pratt Whitney,T34-P-2,,5700,,,,,,,,,,,,
Pratt Whitney,T34-P-3,C-133A,6000,,,,,,,,,,,,
Pratt Whitney,T34-P-5,YC-97J,,,,,,,,,,,,,
Pratt Whitney,T34-P-6,YC-121F,,,,,,,,,,,,,
Pratt Whitney,T34-P-7W,"C-133A, B-377SG",6500,,,,,,,,,,,,
Pratt Whitney,T34-P-7WA,C-133A,6500,,,,,,,,,,,,
Pratt Whitney,T34-P-9W,C-133B,7500,,,,,,,,,,,,
Pratt Whitney,YT34-P-12A,(engine cancelled),,,,,,,,,,,,,
Wright,XT35-W-1,XB-52 (early candidate engine),5500,0.74,,4.3,1,,2C,2,,,152,59,4450
Chrysler,T36-D,(engine cancelled),,,,,,,,,,,,,
Turbodyne,XT37-NA-1,MX-562,7500,,,6,1,,14,3,,,167,44.2,5050
Turbodyne,XT37-NA-3,YB-35A,10000,0.67,,6,1,,14,2,,,167,46,6000
Allison,XT38-A-5,"XF-88B, T-29E",,,,,,,,,,,,,
Allison,T38-A-6,,,,,,,,,,,,,,
Allison,T38-A-10,YH-16A,,,,,,,,,,,,,
Allison,XT39-A-1,(engine cancelled),9000,0.53,,6.2,1,,16,4,,,176,39,3700
Allison,XT40-A-1,XF-84H,5850,,,,1,,17,4,,,167,39,2500
Allison,XT40-A-2,XA2D-1,5100,,,,1,,17,4,,,167,39,2500
Allison,XT40-A-4,XP5Y-1,,,,,1,,17,4,,,167,39,2500
Allison,XT40-A-5,,,,,,1,,17,4,,,167,39,2500
Allison,YT40-A-6,"XA2D-1, XA2J-1, XFV-1",5100,0.63,,6.3,1,,17,4,,,167,39,2500
Allison,YT40-A-10,R3Y-1/-2,5850,,,,1,,17,4,,,167,39,2500
Allison,YT40-A-14,"XFV-1, XFY-1, X-18",7100,,,,1,,17,4,,,167,39,2500
Allison,T40-A-20,,,,,,1,,17,4,,,167,39,2500
Allison,T40-A-22,,,,,,1,,17,4,,,167,39,2500
GE,XT41-GE-1,(engine cancelled),2700,,,,1,,14,2,,,89.9,40,2400
De Laval,T42-DL,(engine cancelled),,,,,,,,,,,,,
Wright,XT43-W-1,(engine cancelled),10000,,,,1,,14,3,,,163.6,45,6400
Allison,T44-A,(engine cancelled),,,,,,,,,,,,,
Pratt Whitney,XT45-P-1,XB-52 (early candidate engine),10000,0.596,,,1,,13,3,,,183,54,
Fairchild,T46-F,(engine cancelled),,,,,,,,,,,,,
Wright,T47-W,(engine cancelled),,,,,,,,,,,,,
Pratt Whitney,T48-P,(engine cancelled),,,,,,,,,,,,,
Wright,YT49-W-1,XB-47D,9600,,,,,,,,,,,,
Boeing,XT50-BO-1,XL-19B,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-2,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-4,,270,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-6,,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-8,QH-50C,300,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-8A,QH-50C,300,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-10,,330,0.87,4.1,4.35,1 + FT,,1C,1,,1,37.2,22.5,215
Boeing,T50-BO-12,QH-50D,,,,,1 + FT,,1C,1,,1,37.2,22.5,215
Continental,XT51-T-1,"XL-19C, XH-39",280,,,,,,,,,,,,
Continental,XT51-T-3,XH-13F,425,,,,,,,,,,,,
Pratt Whitney,T52-P,(engine cancelled),,,,,,,,,,,,,
Avco Lycoming,YT53-L-1,"XH-40 (UH-1 prototype), VZ-2, VZ-3, VZ-4",700,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-1A,"UH-1A, YH-40 (UH-1 pre-production)",770,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-1B,HH-43A/B,825,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-2,,,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-3,OA1A,960,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-3A,"OA1A/B/C, JOA1A",960,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-5,UH-1B,960,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-7,OA1A/B,1005,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-9A,UH-1D,1100,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-11,"AH-1A, TH-1E, UH-1B/C/D/E/L, AB205A",1100,0.7,11,6.1,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-11A,"HH-43F, QH-43G",1100,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-11B,,1100,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-11C,,1100,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-11D,UH-1B/C/D,1100,,,,1 + FT,,5 + 1C,1,,1,,,
Avco Lycoming,T53-L-13,"AH-1G/Q, EH-1H, HH-1H/K, TH-1L, UH-1H/L/M/V, CH-118 Iroquois, AB205A-1",1400,0.58,13,7.4,1 + FT,,5 + 1C,2,,2,,,
Avco Lycoming,T53-L-13A,,1400,0.58,13,7.4,1 + FT,,5 + 1C,2,,2,,,
Avco Lycoming,T53-L-13B,"EH-1H, HH-1H, UH-1H/M/V",1400,0.58,,7.4,1 + FT,,5 + 1C,2,,2,47.6,23,545
KHI,T53-K-13B2,HH-1H,1400,0.58,,7.4,1 + FT,,5 + 1C,2,,2,47.6,23,540
Avco Lycoming,T53-L-15,"OA1B/C, JOA1C, RV-1C",1150,,,,1 + FT,,5 + 1C,2,,2,,,
Avco Lycoming,T53-L-17A,"Kaman K-Max, CQ-24A",1500,0.59,13,7.4,1 + FT,,5 + 1C,2,,2,47.6,23,545
Avco Lycoming,T53-L-701,"OV-1D, TCH-1A",1400,0.58,13,7.4,1 + FT,,5 + 1C,2,,2,,,
Avco Lycoming,T53-L-701A,"OV-1D, RV-1D, TCH-1A, XC-2",1400,0.59,,7.4,1 + FT,,5 + 1C,2,,2,58.4,23,693
Avco Lycoming,T53-L-703,"AH-1E/F/P/S, TH-1H, UH-1HP, TAH-1F/S",1800,0.568,,8,1 + FT,,7 + 1C,2,,2,47.6,23,545
KHI,T53-K-703,"AH-1E, UH-1J",1800,0.568,,8,1 + FT,,7 + 1C,2,,2,47.6,23,545
Allison,T54-A-2,(engine cancelled),7500,,,,,,,,,,,,
Allison,T54-A-3,XFV-2 (not produced),,,,,,,,,,,,,
Allison,T54-A-16,FV-2 (not produced),,,,,,,,,,,,,
Avco Lycoming,T55-L-5,"CH-47A, ACH-47A",2200,,,,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,T55-L-7,"CH-47A, XC-143A, X-19",2650,,,,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,T55-L-7C,"CH-47B, Bell 309 (not produced)",2850,,,,1 + FT,,7 + 1C,2,,2,44,24.2,590
Avco Lycoming,YT55-L-9,PA48 Enforcer,2500,0.608,,,1 + FT,,7 + 1C,2,,2,62.2,24.2,799
Avco Lycoming,T55-L-11A,"CH-47C, CH-147 Chinook",3500,0.55,25,8,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,T55-L-11C,"CH-47C, CH-147 Chinook",3500,0.55,25,8,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,T55-L-11E,Chinook HC.1/HC.1B,3750,0.55,,8,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming,T55-L-712,"CH-47D, MH-47D, Chinook HC.1/HC.1B",3750,0.52,,8.2,1 + FT,,7 + 1C,2,,2,48.5,28.7,760
Avco Lycoming,T55-L-712E,CH-47C+,3750,0.52,,8.2,1 + FT,,7 + 1C,2,,2,48.5,28.7,760
Avco Lycoming,T55-L-712F,Chinook HC.2/HC.2A,3750,0.52,,8.2,1 + FT,,7 + 1C,2,,2,48.5,28.7,760
KHI,T55-K-712,CH-47-414,3750,0.52,,7.4,1 + FT,,7 + 1C,2,,2,48.5,28.7,540
Avco Lycoming (Textron Lycoming),T55-L-714,"CH-47D, MH-47E",4867,0.503,29,9.3,1 + FT,,7 + 1C,2,,2,48.5,28.7,800
Avco Lycoming (Textron Lycoming),T55-L-714A,"CH-47F, MH-47G",4867,0.5,,9.3,1 + FT,,7 + 1C,2,,2,48.5,28.7,832
Avco Lycoming (Honeywell),T55-GA-715B,USMC HLR (candidate engine),6000,,,,1 + FT,,7 + 1C,2,,2,,,
Avco Lycoming (Honeywell),T55-L-71X,SB-1,,,,,1 + FT,,7 + 1C,2,,2,48.5,28.7,832
Allison,XT56-A-1,YC-130A,3250,,,,1,,14,4,,,,,
Allison,XT56-A-2,XHCH-1,3250,,,,1,,14,4,,,,,
Allison,T56-A-3,YC-131C,3250,,,,1,,14,4,,,,,
Allison,T56-A-4,"C-131H, VC-131H",,,,,1,,14,4,,,,,
Allison,T56-A-5,YH-16B,2100,,,,1,,14,4,,,,,
Allison,T56-A-7,"C-130A, CC-130E/NT Hercules",3750,,,,1,,14,4,,,,,
Allison,T56-A-7A,"C-130B/E/F/G, CC-130E/NT Hercules",3750,,32,,1,,14,4,,,,,
Allison,T56-A-7B,"C-130B/E/F/G, CC-130E/NT Hercules",3750,,32,,1,,14,4,,,,,
Allison,T56-A-8A,"C-2A, E-2A",4100,,,,1,,14,4,,,,,
Allison,T56-A-8B,"C-2A, E-2A",4100,,,,1,,14,4,,,,,
Allison,T56-A-9,C-130A/D,3750,,,,1,,14,4,,,,,
Allison,T56-A-9D,C-130A/D,3750,,,,1,,14,4,,,,,
Allison,T56-A-9E,C-130A/D,3750,,,,1,,14,4,,,,,
Allison,T56-A-10W,P-3A,4200,0.52,32,9.3,1,,14,4,,,,,
Allison,T56-A-10WA,P-3A,4200,0.52,32,9.3,1,,14,4,,,,,
Allison,T56-A-11,C-130A,4050,,,,1,,14,4,,,,,
Allison,T56-A-14,"P-3B/C, CP-140",4591,0.54,32,9.6,1,,14,4,,,146.3,49,1885
IHI,T56-IHI-14,P-3C,4591,0.595,32,9.5,1,,14,4,,,146.3,49,1885
Allison,T56-A-14,"P-3B/C, EP-3E, CP-140",4591,0.54,32,9.6,1,,14,4,,,146.3,49,1885
Allison,T56-A-14A,"P-3B/C, CP-140",4591,0.54,32,9.6,1,,14,4,,,146.3,49,1885
Allison,T56-A-15,"C-130H/K, AC-130W, EC-130E, HC-130H/N/P, MC-130W, TC-130H, Hercules C.1/C.3, CC-130H",4591,0.54,32,9.6,1,,14,4,,,146.3,44.6,1848
Allison,T56-A-15A,"C-130H/K, AC-130W, EC-130E, HC-130H/N/P, MC-130W, TC-130H, Hercules C.1/C.3, CC-130H",4591,0.54,32,9.6,1,,14,4,,,146.3,44.6,1848
Allison,T56-A-16,"EC-130Q, LC-130R, NC-130F",4591,,32,9.3,1,,14,4,,,146.3,44.6,1841
Allison,T56-A-16A,"EC-130Q, LC-130R",4591,,32,9.3,1,,14,4,,,146.3,44.6,1841
Allison,T56-A-17,C-130E,4050,,,,1,,14,4,,,,,
Allison,T56-A-18,Demonstrator for US Navy,5000,,32,9.7,1,,14,4,,,146.3,44.6,1841
Allison,T56-A-422,"C-2A, E-2C",4910,,,,1,,14,4,,,146.3,44.6,1841
Allison,T56-A-423,EC-130Q,4591,,32,9.3,1,,14,4,,,146.3,44.6,1841
Allison,T56-A-425,"C-2A, E-2C",4591,,32,9.7,1,,14,4,,,146.3,44.6,1899
Allison,T56-A-425A,E-2C,4591,,32,9.7,1,,14,4,,,146.3,44.6,1899
Allison,T56-A-427,E-2C+/D,5250,0.47,,12,1,,14,4,,,146.1,48.3,1940
Allison,T56-A-427A,E-2C+/D,5250,0.47,,12,1,,14,4,,,146.1,48.3,1940
Pratt Whitney,T57-P-1,XC-132A,15000,0.55,,,,,,,,,,,6600
GE,T58-GE-1,"CH-3B/C, SH-3A, S-61A",1290,,,,2,,10,2,,1,59,20.9,315
GE,YT58-GE-2A,"K-16B, VZ-5",1325,,,,2,,10,2,,1,59,20.9,315
GE,T58-GE-2,AB204AS,1325,,,,2,,10,2,,1,59,20.9,315
GE,T58-GE-3,"TH-1F, UH-1F/P",1290,,,,2,,10,2,,1,59,20.9,309
GE,T58-GE-5,"CH-3E, HH-3E/F, SH-3E/F, S-67, S-72",1500,0.6,,8.4,2,,10,2,,1,59,20.9,335
GE,T58-GE-6,"CH-46A, YUH-2A",1250,,,8.2,2,,10,2,,1,59,20.9,305
GE,T58-GE-8B,"SH-2F, UH-2A/B/C, SH-3G, HH-52A, CH-113A",1250,,,8.2,2,,10,2,,1,59,20.9,305
GE,YT58-GE-8D,X-22A,1250,,,8.2,2,,10,2,,1,59,20.9,305
GE,T58-GE-8E,,1350,,,8.2,2,,10,2,,1,59,20.2,305
GE,T58-GE-8F,"HH-2C/D, SH-2F, UH-2C, SH-3G, CH-124A/B",1350,0.6,,8.2,2,,10,2,,1,59,20.2,305
GE,T58-GE-10,"HH-2D, HH-3F, SH-3D/G/H, ASH-3A/D/TS, CH-46D/F, UH-46D/F, AS-61R",1400,0.62,14,8.4,2,,10,2,,1,59,20.2,350
GE,T58-GE-14,,1400,,,,2,,10,2,,2,63.3,24.2,440
GE,T58-GE-16,"CH-46E, HH-46E",1870,0.53,14,8.4,2,,10,2,,2,63.3,24.2,440
GE,T58-GE-16A,"CH-46E, HH-46E",1870,0.53,14,8.4,2,,10,2,,2,63.3,24.2,440
GE,T58-GE-100,"ASH-3H, CH-124A/B",1500,,,,2,,10,2,,1,59,20.9,335
GE,T58-GE-400B,"UH-3D, VH-3D",1500,,,,2,,10,2,,1,59,20.9,335
GE,T58-GE-402,"SH-3H, UH-3H, CH-46D/E, HH-46D",1500,,,,2,,10,2,,1,59,20.9,335
Boeing,YT60-BO-2A,,475,,,,,,,,,,,,
Allison,T61-A,Super Hercules (engine cancelled),,,,,,,,,,,,,
Solar,T62-S,(APU applications),,,,,,,,,,,,,
Allison,T63-A-1,KD-10 (not produced),,,4,,2,,6 + 1C,2,,2,,,
Allison,T63-A-5A,"AH-6B, EH-6B, MH-6B, OH-6A, YQH-50E, XV-11A, QH-50F (not produced)",252,,4,7.2,2,,6 + 1C,2,,2,,,
Allison,T63-A-100,O-2T,317,,4,7.2,2,,6 + 1C,2,,2,,,
Allison,T63-A-700,"OH-58A, CH-158",317,,4,7.2,2,,6 + 1C,2,,2,,,
Allison,T63-A-720,OH-58C,418,0.69,4,7.3,2,,6 + 1C,2,,2,40.8,23.2,158
GE,T64-GE-1,CH-53A,3080,,,,1 + FT,,14,2,,2,,,
GE,T64-GE-3,HH-53B,3080,,,,1 + FT,,14,2,,2,,,
GE,YT64-GE-4,YCV-7A,2850,,,,1 + FT,,14,2,,2,,,
GE,T64-GE-5,XC-142A,3080,,,,1 + FT,,14,2,,2,,,
GE,T64-GE-6,"CH-53A, TH-53A, XV-9A",2850,,,,1 + FT,,14,2,,2,,,
GE,T64-GE-6B,"CH-53A, TH-53A",3080,,,,1 + FT,,14,2,,2,,,
GE,T64-GE-7,"CH-53C, HH-53B/C/H",3925,,,,1 + FT,,14,2,,2,,,
MTU,T64-MTU-7,CH-53G,3925,0.48,,13,1 + FT,,14,2,,2,79,20.1,712
GE,T64-GE-7A,"CH-53C, HH-53C",3936,0.47,,14.1,1 + FT,,14,2,,2,79,20.1,720
GE,T64-GE-10,"CV-7A, C-8A, DHC-5, PJ2",2736,,,,1 + FT,,14,2,,2,,,
IHI,T64-IHI-10,PS-1,2736,,,,1 + FT,,14,2,,2,,,
IHI,T64-IHI-10J,"US-1A, YS-11E",2736,,,12.5,1 + FT,,14,2,,2,79,21.1,1240
GE,T64-GE-16A,"CH-53A, YAH-56A",3485,0.48,27,13,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-100,"MH-53J, TH-53A, S-65A",4330,0.48,29,14.9,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-412,"CH-53D, Ya’sur 2000 (not produced)",3695,,,,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-413,"CH-53D, RH-53A, VH-53D",3925,0.47,29,14.1,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-413A,"CH-53D, RH-53D, VH-53D",3925,0.47,29,14.1,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-415,"RH-53D/E, MH-53J/M, TH-53B",4380,0.47,29,14.8,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-416,"CH-53E, MH-53E",4380,,,,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-416A,"CH-53E, MH-53E",4380,,,,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-419,MH-53E,4750,,,14.9,1 + FT,,14,2,,2,79,24.2,755
GE,T64-GE-716,,3925,,,,1 + FT,,14,2,,2,79,24.2,720
GE,T64-GE-P4C,DHC-5B (not produced),,,,,1 + FT,,14,2,,2,110,20.1,
Fiat,T64-GE-P4D,"G222, G222RM/VS",2938,,,,1 + FT,,14,2,,2,110,20.1,1188
GE,T64-GE-P4D-1,C-27A,3400,0.48,27,13.2,1 + FT,,14,2,,2,110,20.1,1188
GE,T64-GE-S4D-1,S-64B,3780,,,,1 + FT,,14,2,,2,,,
GE,T64-GE-T4C-2,,4330,,,,1 + FT,,14,2,,2,79,20.1,720
Continental,T65-T-1,(engine cancelled),335,0.71,3,6,1 + FT,,1 + 1C,2,,1,,,
Solar,T66-S,(engine cancelled),,,,,,,,,,,,,
Continental,XT67-T-1,UH-1D flight test,1700,0.57,7,7.9,1 + FT,,2 + 1C,2,,1,,,
Rolls Royce,T68-RR,(engine cancelled),,,,,,,,,,,,,
Continental,T69-T,(engine cancelled),,,,,,,,,,,,,
Westinghouse,T70-W,(engine cancelled),,,,,,,,,,,,,
Allison,T71-A-5,YB-47C (engine cancelled),,,,,,,,,,,,,
Continental,T72-T,(see XT67-T-1),,,,,,,,,,,,,
Pratt Whitney,T73-P-1,CH-54A,4500,0.69,,,1 + FT,,9,2,,2,,34,920
Pratt Whitney,T73-P-700,CH-54B,4800,0.688,,,1 + FT,,9,2,,2,,34,935
Pratt Whitney Canada,T74-CP-700,"U-21A, RU-21A/D, VC-6A/B",550,,,,1 + FT,,3 + 1C,2,,1,62,19,
Pratt Whitney Canada,T74-CP-702,RU-21B/C/E,620,,,,1 + FT,,3 + 1C,2,,1,62,19,
Garrett,T76-G-10,OV-10A,715,0.6,,8.6,1,,2,3,,,43,27,341
Garrett,T76-G-12,OV-10A,715,0.6,,8.6,1,,2,3,,,43,27,341
Garrett,T76-G-416,OV-10A,715,,,,1,,2,3,,,43,27,
